directors,popularity,rating,stars,title,writers
Asghar Farhadi,"1,631",8.3,"Payman Maadi,Leila Hatami,Sareh Bayat,See full cast & crew",A Separation,
Robert Mulligan,"1,520",8.2,"Gregory Peck,John Megna,Frank Overton,See full cast & crew",To Kill a Mockingbird,"Harper Lee,Horton Foote"
Billy Wilder,"2,011",8.3,"Jack Lemmon,Shirley MacLaine,Fred MacMurray,See full cast & crew",The Apartment,"Billy Wilder,I.A.L. Diamond"
Akira Kurosawa,,8.3,"Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori,See full cast & crew",Ikiru,"Akira Kurosawa,Shinobu Hashimoto,1 more credit"
George Roy Hill,"1,327",8.3,"Paul Newman,Robert Redford,Robert Shaw,See full cast & crew",The Sting,
Fritz Lang,"1,449",8.3,"Brigitte Helm,Alfred Abel,Gustav Fröhlich,See full cast & crew",Metropolis,"Thea von Harbou,Thea von Harbou"
Jean-Pierre Jeunet,669,8.3,"Audrey Tautou,Mathieu Kassovitz,Rufus,See full cast & crew",Amélie,"Guillaume Laurant,Jean-Pierre Jeunet,1 more credit"
Lee Unkrich,"1,053",8.3,"Tom Hanks,Tim Allen,Joan Cusack,See full cast & crew",Toy Story 3,"John Lasseter,Andrew Stanton,2 more credits"
Billy Wilder,"1,202",8.3,"Fred MacMurray,Barbara Stanwyck,Edward G. Robinson,See full cast & crew",Double Indemnity,"Billy Wilder,Raymond Chandler,1 more credit"
David Lean,471,8.3,"Peter O'Toole,Alec Guinness,Anthony Quinn,See full cast & crew",Lawrence of Arabia,"T.E. Lawrence,Robert Bolt,1 more credit"
Martin Scorsese,144,8.3,"Robert De Niro,Jodie Foster,Cybill Shepherd,See full cast & crew",Taxi Driver,
Brian De Palma,253,8.3,"Al Pacino,Michelle Pfeiffer,Steven Bauer,See full cast & crew",Scarface,
"Stanley Donen,Gene Kelly",435,8.3,"Gene Kelly,Donald O'Connor,Debbie Reynolds,See full cast & crew",Singin' in the Rain,"Betty Comden,Adolph Green"
Guy Ritchie,271,8.3,"Jason Statham,Brad Pitt,Benicio Del Toro,See full cast & crew",Snatch,
Vittorio De Sica,,8.3,"Lamberto Maggiorani,Enzo Staiola,Lianella Carell,See full cast & crew",Bicycle Thieves,"Cesare Zavattini,Luigi Bartolini,7 more credits"
Stanley Kubrick,374,8.3,"Malcolm McDowell,Patrick Magee,Michael Bates,See full cast & crew",A Clockwork Orange,"Stanley Kubrick,Anthony Burgess"
Stanley Kubrick,403,8.3,"Matthew Modine,R. Lee Ermey,Vincent D'Onofrio,See full cast & crew",Full Metal Jacket,"Stanley Kubrick,Michael Herr,2 more credits"
Alfred Hitchcock,"1,142",8.3,"Cary Grant,Eva Marie Saint,James Mason,See full cast & crew",North by Northwest,
Nadine Labaki,469,8.4,"Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,See full cast & crew",Capernaum,"Nadine Labaki,Jihad Hojeily,3 more credits"
Nitesh Tiwari,,8.4,"Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,See full cast & crew",Dangal,"Piyush Gupta,Shreyas Jain,3 more credits"
Orson Welles,"1,114",8.3,"Orson Welles,Joseph Cotten,Dorothy Comingore,See full cast & crew",Citizen Kane,"Herman J. Mankiewicz,Orson Welles"
Thomas Vinterberg,650,8.3,"Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,See full cast & crew",The Hunt,"Tobias Lindholm,Thomas Vinterberg"
Michel Gondry,299,8.3,"Jim Carrey,Kate Winslet,Tom Wilkinson,See full cast & crew",Eternal Sunshine of the Spotless Mind,"Charlie Kaufman,Michel Gondry,2 more credits"
Fritz Lang,,8.3,"Peter Lorre,Ellen Widmann,Inge Landgut,See full cast & crew",M,"Thea von Harbou,Fritz Lang"
Darren Aronofsky,164,8.3,"Ellen Burstyn,Jared Leto,Jennifer Connelly,See full cast & crew",Requiem for a Dream,"Hubert Selby Jr.,Hubert Selby Jr.,1 more credit"
Gus Van Sant,187,8.3,"Robin Williams,Matt Damon,Ben Affleck,See full cast & crew",Good Will Hunting,"Matt Damon,Ben Affleck"
Alfred Hitchcock,830,8.3,"James Stewart,Kim Novak,Barbara Bel Geddes,See full cast & crew",Vertigo,"Alec Coppel,Samuel A. Taylor,2 more credits"
Stanley Kubrick,491,8.3,"Keir Dullea,Gary Lockwood,William Sylvester,See full cast & crew",2001: A Space Odyssey,"Stanley Kubrick,Arthur C. Clarke"
Quentin Tarantino,400,8.3,"Harvey Keitel,Tim Roth,Michael Madsen,See full cast & crew",Reservoir Dogs,"Quentin Tarantino,Quentin Tarantino,1 more credit"
Richard Marquand,558,8.3,"Mark Hamill,Harrison Ford,Carrie Fisher,See full cast & crew",Star Wars: Episode VI - Return of the Jedi,"Lawrence Kasdan,George Lucas,1 more credit"
Akira Kurosawa,,8.5,"Toshirô Mifune,Yutaka Sada,Tatsuya Nakadai,See full cast & crew",High and Low,"Hideo Oguni,Ryûzô Kikushima,3 more credits"
"Aamir Khan,Amole Gupte",,8.4,"Darsheel Safary,Aamir Khan,Tisca Chopra,See full cast & crew",Like Stars on Earth,"Amole Gupte,Amole Gupte"
Rajkumar Hirani,845,8.4,"Aamir Khan,Madhavan,Mona Singh,See full cast & crew",3 Idiots,"Rajkumar Hirani,Abhijat Joshi,3 more credits"
Milos Forman,870,8.3,"F. Murray Abraham,Tom Hulce,Elizabeth Berridge,See full cast & crew",Amadeus,"Peter Shaffer,Peter Shaffer"
Quentin Tarantino,100,8.3,"Brad Pitt,Diane Kruger,Eli Roth,See full cast & crew",Inglourious Basterds,
John Lasseter,586,8.3,"Tom Hanks,Tim Allen,Don Rickles,See full cast & crew",Toy Story,"John Lasseter,Pete Docter,6 more credits"
Mel Gibson,379,8.3,"Mel Gibson,Sophie Marceau,Patrick McGoohan,See full cast & crew",Braveheart,
Sam Mendes,17,8.3,"Dean-Charles Chapman,George MacKay,Daniel Mays,See full cast & crew",1917,"Sam Mendes,Krysty Wilson-Cairns"
Sam Mendes,235,8.3,"Kevin Spacey,Annette Bening,Thora Birch,See full cast & crew",American Beauty,
Wolfgang Petersen,"1,499",8.3,"Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,See full cast & crew",Das Boot,"Wolfgang Petersen,Lothar G. Buchheim"
James Cameron,405,8.3,"Sigourney Weaver,Michael Biehn,Carrie Henn,See full cast & crew",Aliens,"James Cameron,David Giler,4 more credits"
"Lee Unkrich,Adrian Molina",296,8.4,"Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,See full cast & crew",Coco,"Lee Unkrich,Jason Katz,4 more credits"
Sergio Leone,,8.4,"Robert De Niro,James Woods,Elizabeth McGovern,See full cast & crew",Once Upon a Time in America,"Harry Grey,Leonardo Benvenuti,6 more credits"
Makoto Shinkai,600,8.4,"Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita,See full cast & crew",Your Name.,"Makoto Shinkai,Makoto Shinkai,1 more credit"
Billy Wilder,,8.4,"Tyrone Power,Marlene Dietrich,Charles Laughton,See full cast & crew",Witness for the Prosecution,"Agatha Christie,Billy Wilder,2 more credits"
Christopher Nolan,119,8.4,"Christian Bale,Tom Hardy,Anne Hathaway,See full cast & crew",The Dark Knight Rises,"Jonathan Nolan,Christopher Nolan,3 more credits"
Stanley Kubrick,814,8.4,"Peter Sellers,George C. Scott,Sterling Hayden,See full cast & crew",Dr. Strangelove,"Stanley Kubrick,Terry Southern,2 more credits"
Hayao Miyazaki,684,8.4,"Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,See full cast & crew",Princess Mononoke,"Hayao Miyazaki,Neil Gaiman"
Chan-wook Park,362,8.4,"Min-sik Choi,Ji-Tae Yoo,Hye-jeong Kang,See full cast & crew",Oldboy,"Garon Tsuchiya,Nobuaki Minegishi,4 more credits"
"Bob Persichetti,Peter Ramsey,1 more credit",185,8.4,"Shameik Moore,Jake Johnson,Hailee Steinfeld,See full cast & crew",Spider-Man: Into the Spider-Verse,"Phil Lord,Rodney Rothman,1 more credit"
Andrew Stanton,734,8.4,"Ben Burtt,Elissa Knight,Jeff Garlin,See full cast & crew",WALL·E,"Andrew Stanton,Pete Docter,2 more credits"
Billy Wilder,,8.4,"William Holden,Gloria Swanson,Erich von Stroheim,See full cast & crew",Sunset Blvd.,"Charles Brackett,Billy Wilder,1 more credit"
"Anthony Russo,Joe Russo",19,8.4,"Robert Downey Jr.,Chris Evans,Mark Ruffalo,See full cast & crew",Avengers: Endgame,"Christopher Markus,Stephen McFeely,14 more credits"
Quentin Tarantino,163,8.4,"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,See full cast & crew",Django Unchained,
Stanley Kubrick,,8.4,"Kirk Douglas,Ralph Meeker,Adolphe Menjou,See full cast & crew",Paths of Glory,"Stanley Kubrick,Calder Willingham,2 more credits"
Florian Henckel von Donnersmarck,617,8.4,"Ulrich Mühe,Martina Gedeck,Sebastian Koch,See full cast & crew",The Lives of Others,
Stanley Kubrick,140,8.4,"Jack Nicholson,Shelley Duvall,Danny Lloyd,See full cast & crew",The Shining,"Stephen King,Stanley Kubrick,1 more credit"
Charles Chaplin,,8.4,"Charles Chaplin,Paulette Goddard,Jack Oakie,See full cast & crew",The Great Dictator,
"Anthony Russo,Joe Russo",79,8.5,"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,See full cast & crew",Avengers: Infinity War,"Christopher Markus,Stephen McFeely,14 more credits"
Steven Spielberg,199,8.4,"Harrison Ford,Karen Allen,Paul Freeman,See full cast & crew",Raiders of the Lost Ark,"Lawrence Kasdan,George Lucas,1 more credit"
Alfred Hitchcock,749,8.4,"James Stewart,Grace Kelly,Wendell Corey,See full cast & crew",Rear Window,"John Michael Hayes,Cornell Woolrich"
Ridley Scott,207,8.4,"Sigourney Weaver,Tom Skerritt,John Hurt,See full cast & crew",Alien,"Dan O'Bannon,Dan O'Bannon,1 more credit"
Christopher Nolan,306,8.4,"Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,See full cast & crew",Memento,"Christopher Nolan,Jonathan Nolan"
Francis Ford Coppola,193,8.4,"Martin Sheen,Marlon Brando,Robert Duvall,See full cast & crew",Apocalypse Now,"John Milius,Francis Ford Coppola,1 more credit"
Giuseppe Tornatore,"1,509",8.5,"Philippe Noiret,Enzo Cannavale,Antonella Attili,See full cast & crew",Cinema Paradiso,"Giuseppe Tornatore,Giuseppe Tornatore,2 more credits"
Sergio Leone,560,8.5,"Henry Fonda,Charles Bronson,Claudia Cardinale,See full cast & crew",Once Upon a Time in the West,"Sergio Donati,Sergio Leone,3 more credits"
Isao Takahata,"1,025",8.5,"Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi,See full cast & crew",Grave of the Fireflies,"Akiyuki Nosaka,Isao Takahata"
Todd Phillips,20,8.5,"Joaquin Phoenix,Robert De Niro,Zazie Beetz,See full cast & crew",Joker,"Todd Phillips,Scott Silver,3 more credits"
Luc Besson,191,8.5,"Jean Reno,Gary Oldman,Natalie Portman,See full cast & crew",Léon: The Professional,
Frank Darabont,218,8.6,"Tom Hanks,Michael Clarke Duncan,David Morse,See full cast & crew",The Green Mile,"Stephen King,Frank Darabont"
Michael Curtiz,212,8.5,"Humphrey Bogart,Ingrid Bergman,Paul Henreid,See full cast & crew",Casablanca,"Julius J. Epstein,Philip G. Epstein,3 more credits"
Christopher Nolan,50,8.6,"Matthew McConaughey,Anne Hathaway,Jessica Chastain,See full cast & crew",Interstellar,"Jonathan Nolan,Christopher Nolan"
Hayao Miyazaki,246,8.6,"Daveigh Chase,Suzanne Pleshette,Miyu Irino,See full cast & crew",Spirited Away,
Steven Spielberg,226,8.6,"Tom Hanks,Matt Damon,Tom Sizemore,See full cast & crew",Saving Private Ryan,
Frank Capra,"1,300",8.6,"James Stewart,Donna Reed,Lionel Barrymore,See full cast & crew",It's a Wonderful Life,"Frances Goodrich,Albert Hackett,3 more credits"
Bong Joon Ho,7,8.6,"Kang-ho Song,Sun-kyun Lee,Yeo-jeong Jo,See full cast & crew",Parasite,"Bong Joon Ho,Bong Joon Ho,1 more credit"
Jonathan Demme,114,8.6,"Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,See full cast & crew",The Silence of the Lambs,"Thomas Harris,Ted Tally"
"Fernando Meirelles,Kátia Lund",434,8.6,"Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,See full cast & crew",City of God,"Paulo Lins,Bráulio Mantovani"
Roberto Benigni,366,8.6,"Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,See full cast & crew",Life Is Beautiful,"Vincenzo Cerami,Roberto Benigni"
David Fincher,103,8.6,"Morgan Freeman,Brad Pitt,Kevin Spacey,See full cast & crew",Se7en,
George Lucas,195,8.6,"Mark Hamill,Harrison Ford,Carrie Fisher,See full cast & crew",Star Wars: Episode IV - A New Hope,
Akira Kurosawa,737,8.6,"Toshirô Mifune,Takashi Shimura,Keiko Tsushima,See full cast & crew",Seven Samurai,"Akira Kurosawa,Shinobu Hashimoto,1 more credit"
Milos Forman,260,8.7,"Jack Nicholson,Louise Fletcher,Will Sampson,See full cast & crew",One Flew Over the Cuckoo's Nest,"Lawrence Hauben,Bo Goldman,2 more credits"
Martin Scorsese,109,8.7,"Robert De Niro,Ray Liotta,Joe Pesci,See full cast & crew",Goodfellas,"Nicholas Pileggi,Nicholas Pileggi,1 more credit"
"Lana Wachowski,Lilly Wachowski",91,8.7,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,See full cast & crew",The Matrix,"Lilly Wachowski,Lana Wachowski"
Robert Zemeckis,99,8.8,"Tom Hanks,Robin Wright,Gary Sinise,See full cast & crew",Forrest Gump,"Winston Groom,Eric Roth"
Irvin Kershner,518,8.7,"Mark Hamill,Harrison Ford,Carrie Fisher,See full cast & crew",Star Wars: Episode V - The Empire Strikes Back,"Leigh Brackett,Lawrence Kasdan,1 more credit"
Peter Jackson,239,8.7,"Elijah Wood,Ian McKellen,Viggo Mortensen,See full cast & crew",The Lord of the Rings: The Two Towers,"J.R.R. Tolkien,Fran Walsh,3 more credits"
Christopher Nolan,44,8.8,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,See full cast & crew",Inception,
