title
Avengers: Endgame
Pirates of the Caribbean: On Stranger Tides
Avengers: Age of Ultron
Star Wars Ep. VII: The Force Awakens
Avengers: Infinity War
Pirates of the Caribbean: At Worldâ€™s End
Justice League
Spectre
Star Wars: The Rise of Skywalker
Solo: A Star Wars Story
John Carter
Batman v Superman: Dawn of Justice
The Lion King
Tangled
Spider-Man 3
Captain America: Civil War
Harry Potter and the Half-Blood Prince
The Hobbit: The Desolation of Smaug
The Hobbit: The Battle of the Five Armies
The Fate of the Furious
No Time to Die
Avatar
Superman Returns
The Dark Knight Rises
Pirates of the Caribbean: Dead Men Tell No Tales
Quantum of Solace
The Avengers
Pirates of the Caribbean: Dead Manâ€™s Chest
Man of Steel
The Chronicles of Narnia: Prince Caspian
The Lone Ranger
Tenet
The Amazing Spider-Man
Battleship
Transformers: The Last Knight
Jurassic World
Men in Black 3
Transformers: Revenge of the Fallen
Transformers: Age of Extinction
X-Men: The Last Stand
Robin Hood
King Kong
The Golden Compass
Black Panther
Titanic
Star Wars Ep. VIII: The Last Jedi
Incredibles 2
Rogue One: A Star Wars Story
Finding Dory
Toy Story 4
Toy Story 3
Iron Man 3
Guardians of the Galaxy Vol 2
Spider-Man 2
Alice in Wonderland
Skyfall
The Hobbit: An Unexpected Journey
Monsters University
Oz the Great and Powerful
X-Men: Days of Future Past
The Amazing Spider-Man 2
Cars 2
Fast & Furious Presents: Hobbs & Shaw
Tron: Legacy
2012
Fantastic Beasts: The Crimes of Grindelwald
Terminator Salvation
Green Lantern
Prince of Persia: Sands of Time
Dark Phoenix
Transformers: Dark of the Moon
The Mummy
Jack the Giant Slayer
Furious 7
Star Trek Into Darkness
World War Z
The Great Gatsby
Disneyâ€™s A Christmas Carol
Pacific Rim
The Good Dinosaur
Iron Man
The Dark Knight
Indiana Jones and the Kingdom of the Crystal Skull
Brave
Kong: Skull Island
Star Trek Beyond
Maleficent: Mistress of Evil
Blade Runner 2049
Terminator: Dark Fate
Aladdin
Thor: Ragnarok
"The Chronicles of Narnia: The Lion, the Witch a…"
Maleficent
Fantastic Beasts and Where to Find Them
WALL-E
Rush Hour 3
The Legend of Tarzan
Hugo
Valerian and the City of a Thousand Planets
Jupiter Ascending
Holes
Tyler Perry's Madea's Witness Protection
The Last Song
Why Did I Get Married Too?
La vita Ã¨ bella
The Shack
12 Years a Slave
Drumline
Me Before You
What Men Want
Barbershop: The Next Cut
Edward Scissorhands
